Event Description,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time to Restore
Physical Attack - Vandalism,6/24/2014,2:54 PM,6/24/2014,2:55 PM,0:01
Physical Attack - Vandalism,6/19/2014,8:47 AM,6/19/2014,8:48 AM,0:01
Physical Attack - Vandalism,6/18/2014,9:52 AM,6/18/2014,7:00 PM,9:08
Severe Weather - Thunderstorms,6/15/2014,12:00 AM,6/15/2014,1:00 AM,1:00
Suspected Physical Attack,6/12/2014,9:10 AM,6/12/2014,9:11 AM,0:01
Physical Attack - Vandalism,6/11/2014,4:00 PM,6/11/2014,4:30 PM,0:30
Suspected Physical Attack,6/11/2014,9:30 AM,6/11/2014,9:31 AM,0:01
Electrical System Islanding,6/9/2014,11:07 AM,6/9/2014,11:30 AM,0:23
Severe Weather - Thunderstorms,6/5/2014,3:00 AM,6/7/2014,11:45 PM,20:45
Severe Weather - Thunderstorms,6/5/2014,1:06 PM,6/5/2014,1:07 PM,0:01
Electrical System Islanding,6/3/2014,3:32 PM,6/3/2014,3:59 PM,0:27
Physical Attack - Vandalism,6/3/2014,1:38 AM,6/3/2014,1:43 AM,0:05
Physical Attack - Vandalism,5/27/2014,11:00 AM,5/27/2014,4:53 PM,5:53
Electrical System Separation (Islanding),5/26/2014,12:31 PM,5/26/2014,1:18 PM,0:47
Physical Attack - Vandalism,5/23/2014,3:00 PM,5/25/2014,7:00 PM,4:00
Physical Attack - Vandalism,5/20/2014,7:01 AM,5/20/2014,7:02 AM,0:01
Public Appeal to Reduce Electricity Usage - Wild Fires,5/16/2014,10:43 AM,5/16/2014,9:00 PM,10:17
Suspected Physical Attack,5/15/2014,12:10 PM,5/15/2014,12:13 PM,0:03
Physical Attack - Vandalism,5/12/2014,1:14 PM,5/12/2014,1:15 PM,0:01
Physical Attack - Vandalism,5/11/2014,6:38 PM,5/11/2014,6:39 PM,0:01
Physical Attack,5/8/2014,8:39 AM,5/8/2014,8:40 AM,0:01
Physical Attack,5/8/2014,1:00 AM,5/8/2014,1:01 AM,0:01
Severe Weather - Thunderstorms,4/30/2014,3:50 AM,4/30/2014,2:00 PM,10:10
Physical Attack - Vandalism,4/27/2014,12:07 PM,4/27/2014,12:09 PM,0:02
Physical Attack - Vandalism,4/25/2014,7:00 AM,4/25/2014,7:30 AM,0:30
Electrical System Separation (Islanding),4/24/2014,3:02 PM,4/24/2014,5:13 PM,2:11
Load shedding of 100 Megawatts,4/23/2014,7:45 PM,4/23/2014,8:37 PM,0:52
Physical Attack - Vandalism,4/8/2014,1:00 PM,4/8/2014,1:01 PM,0:01
Voltage Reduction,4/8/2014,11:09 AM,4/8/2014,11:20 AM,0:11
Severe Weather - Wind,4/4/2014,3:30 AM,4/4/2014,8:15 AM,4:45
System Wide Voltage Reduction,3/31/2014,3:41 PM,3/31/2014,8:08 PM,4:27
Electrical System Separation (Islanding),3/26/2014,1:37 PM,3/26/2014,2:33 PM,0:56
Physical Attack - Vandalism,3/24/2014,11:07 AM,3/24/2014,11:08 AM,0:01
Suspected Cyber Attack,3/20/2014,12:00 AM,3/20/2014,12:01 AM,0:01
Physical Attack - Vandalism,3/14/2014,12:34 PM,3/14/2014,4:45 PM,4:11
Suspected Physical Attack,3/11/2014,12:00 AM,3/13/2014,12:00 AM,0:00
Severe Weather - Winter Storm,3/7/2014,3:30 AM,3/7/2014,9:00 PM,17:30
Physical Attack,3/5/2014,5:06 PM,3/5/2014,5:07 PM,0:01
Fuel Supply Emergency - Coal,3/4/2014,9:06 AM,3/17/2014,9:06 AM,0:00
Suspected Physical Attack,3/3/2014,5:25 PM,3/3/2014,5:25 PM,0:00
Severe Weather - Winter Storm,3/3/2014,6:40 AM,3/3/2014,3:28 PM,8:48
Fuel Supply Emergency - Hydro,3/3/2014,1:48 AM,3/3/2014,1:49 AM,0:01
Severe Weather - Thunderstorms/High Winds,2/21/2014,2:53 AM,2/21/2014,9:00 PM,18:07
Severe Weather - Snow/Ice,2/20/2014,4:40 PM,2/21/2014,11:59 PM,7:19
Physical Attack - Vandalism,2/18/2014,6:43 PM,2/18/2014,6:44 PM,0:01
Physical Attack - Vandalism,2/14/2014,1:00 PM,2/14/2014,3:00 PM,2:00
Severe Weather - Snow/Ice,2/12/2014,12:10 PM,2/15/2014,3:20 PM,3:10
Physical Attack - Vandalism,2/12/2014,2:15 PM,2/12/2014,2:16 PM,0:01
Public Appeal to Reduce Electricity Usage,2/7/2014,4:50 PM,2/7/2014,8:30 PM,3:40
Fuel Supply Emergency - Coal,2/7/2014,7:00 AM,3/21/2014,8:00 AM,1:00
Fuel Supply Emergency - Natural Gas,2/6/2014,1:00 PM,2/6/2014,10:00 PM,9:00
Public Appeal to Reduce Electricity Usage,2/6/2014,1:58 PM,2/6/2014,8:40 PM,6:42
Fuel Supply Emergency - Natural Gas,2/6/2014,2:15 PM,2/6/2014,7:39 PM,5:24
Fuel Supply Emergency - Natural Gas,2/6/2014,1:05 PM,2/6/2014,7:15 PM,6:10
Severe Weather - Snow/Ice,2/5/2014,1:00 AM,2/9/2014,8:40 PM,19:40
Severe Weather - Snow/Ice,2/5/2014,12:00 AM,2/9/2014,6:00 PM,18:00
Severe Weather - Ice,2/5/2014,8:05 AM,2/5/2014,8:06 AM,0:01
Fuel Supply Emergency - Coal,2/5/2014,7:00 AM,2/23/2014,7:00 AM,0:00
Severe Weather - Snow/Ice,2/5/2014,5:00 AM,2/5/2014,5:01 AM,0:01
Physical Attack - Vandalism,1/29/2014,4:00 PM,1/29/2014,4:44 PM,0:44
Public Appeal due to Severe Weather - Cold,1/27/2014,2:20 PM,1/28/2014,9:00 PM,6:40
Physical Attack - Vandalism,1/25/2014,10:00 AM,1/25/2014,11:00 AM,1:00
Physical Attack - Vandalism,1/24/2014,3:30 PM,1/24/2014,5:00 PM,1:30
Fuel Supply Emergency - Coal,1/24/2014,12:00 AM,4/9/2014,11:53 AM,11:53
Public Appeal due to Severe Weather - Cold,1/23/2014,4:00 AM,1/24/2014,12:00 PM,8:00
Physical Attack - Vandalism,1/22/2014,9:45 AM,1/22/2014,8:19 PM,10:34
Physical Attack - Vandalism,1/22/2014,1:55 PM,1/22/2014,2:55 PM,1:00
Physical Attack - Vandalism,1/22/2014,12:30 AM,1/22/2014,2:45 AM,2:15
Physical Attack - Vandalism,1/21/2014,12:14 PM,1/21/2014,12:39 PM,0:25
Public Appeal to Reduce Electricity Usage,1/18/2014,9:00 AM,1/18/2014,9:45 AM,0:45
Suspected Physical Attack,1/17/2014,12:20 PM,1/17/2014,12:20 PM,0:00
Physical Attack - Vandalism,1/16/2014,12:30 PM,1/16/2014,1:57 PM,1:27
Physical Attack - Vandalism,1/15/2014,2:32 PM,1/15/2014,2:45 PM,0:13
Physical Attack - Vandalism,1/13/2014,4:44 PM,1/13/2014,4:45 PM,0:01
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,1/8/2014,6:00 AM,1/8/2014,9:00 AM,3:00
Voltage Reduction due to Severe Weather - Cold,1/8/2014,5:00 AM,1/8/2014,6:30 AM,1:30
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,1/7/2014,6:00 PM,1/7/2014,11:00 PM,5:00
Voltage Reduction; Public Appeal due to Severe Weather - Cold,1/7/2014,7:58 AM,1/7/2014,11:00 AM,3:02
Fuel Supply Emergency due to Severe Weather - Cold,1/7/2014,9:30 AM,1/8/2014,9:30 AM,0:00
Public Appeal due to Severe Weather - Cold,1/7/2014,6:00 AM,1/7/2014,8:30 AM,2:30
Public Appeal due to Severe Weather - Cold,1/7/2014,6:00 AM,1/7/2014,8:30 AM,2:30
Severe Weather - Cold,1/7/2014,6:18 AM,1/7/2014,6:19 AM,0:01
Public Appeal due to Severe Weather - Cold,1/6/2014,10:00 PM,1/6/2014,10:01 PM,0:01
Public Appeal due to Severe Weather - Cold,1/6/2014,8:45 PM,1/7/2014,9:00 PM,0:15
Voltage Reduction due to Severe Weather - Cold,1/6/2014,7:50 PM,1/6/2014,8:49 PM,0:59
Voltage Reduction due to Severe Weather - Cold,1/6/2014,7:52 PM,1/6/2014,8:45 PM,0:53
Voltage Reduction due to Severe Weather - Cold,1/6/2014,7:50 PM,1/6/2014,8:44 PM,0:54
Voltage Reduction due to Severe Weather - Cold,1/6/2014,7:50 PM,1/6/2014,8:44 PM,0:54
Voltage Reduction due to Severe Weather - Cold,1/6/2014,7:50 PM,1/6/2014,8:44 PM,0:54
Vandalism,1/6/2014,2:37 PM,1/6/2014,2:38 PM,0:01
Public Appeal due to Severe Weather - Cold,1/6/2014,7:01 AM,1/7/2014,9:00 AM,1:59
Physical Attack,12/30/2013,11:00 AM,12/30/2013,11:01 AM,0:01
Physical Attack,12/27/2013,9:43 AM,12/27/2013,12:43 PM,3:00
Severe Weather - Ice/Snow,12/22/2013,6:16 AM,12/24/2013,11:59 PM,17:43
Severe Weather - Ice/Snow,12/22/2013,3:28 AM,12/28/2013,11:45 PM,20:17
Fuel Supply Emergencies (Coal),12/13/2013,11:00 AM,12/27/2013,11:00 AM,0:00
Fuel Supply Emergencies (Coal),12/13/2013,11:00 AM,12/27/2013,11:00 AM,0:00
Suspected Physical Attack,12/10/2013,1:01 AM,12/11/2013,1:01 AM,0:00
Severe Weather - Ice/Snow,12/9/2013,6:54 AM,12/9/2013,2:22 PM,7:28
Severe Weather - Ice/Snow,12/6/2013,1:51 AM,12/11/2013,12:00 PM,10:09
"Physical Attack - Vandalism, Theft",12/6/2013,8:47 AM,12/6/2013,8:49 AM,0:02
Load Shed 100+ MW,12/4/2013,5:00 AM,12/4/2013,4:17 PM,11:17
Physical Attack - Vandalism,11/24/2013,7:38 AM,11/24/2013,7:39 AM,0:01
Physical Attack - Vandalism,11/20/2013,3:08 AM,11/20/2013,3:09 AM,0:01
Severe Weather - Thunderstorms,11/17/2013,2:31 PM,11/17/2013,10:30 PM,7:59
Severe Weather - Ice and Snow Storm,11/17/2013,7:00 AM,11/20/2013,6:54 PM,11:54
Severe Weather - Thunderstorms,11/17/2013,4:19 PM,11/18/2013,6:00 PM,1:41
Severe Weather - Thunderstorms,11/17/2013,4:47 PM,11/20/2013,4:47 PM,0:00
Severe Weather - Thunderstorms,11/17/2013,4:45 PM,11/21/2013,4:45 PM,0:00
System-wide voltage reductions of 3 percent or more,11/17/2013,12:35 PM,11/17/2013,1:40 PM,1:05
Severe Weather - Thunderstorms,11/17/2013,1:06 PM,11/20/2013,1:06 PM,0:00
Physical Attack - Vandalism,11/16/2013,3:15 PM,11/16/2013,3:16 PM,0:01
Electrical System Separation (Islanding),11/12/2013,2:04 PM,11/12/2013,2:05 PM,0:01
Loss of Power from Wholesale Provider; Major Distribution Disruption,11/12/2013,9:14 AM,11/12/2013,10:30 AM,1:16
Physical Attack,11/5/2013,10:10 AM,11/7/2013,10:10 AM,0:00
Physical Attack - Vandalism,11/4/2013,9:04 AM,11/4/2013,9:05 AM,0:01
Physical Attack - Vandalism,11/2/2013,8:25 AM,11/2/2013,8:26 AM,0:01
Severe Weather - Heavy Winds,11/2/2013,12:00 AM,11/4/2013,6:00 AM,6:00
Physical Attack - Vandalism,11/1/2013,1:26 PM,11/1/2013,1:27 PM,0:01
Severe Weather - Hail Storm,10/27/2013,4:27 AM,10/27/2013,10:27 PM,18:00
Suspected Physical Attack,10/26/2013,7:13 AM,10/26/2013,7:14 AM,0:01
Electrical System Separation (Islanding),10/21/2013,5:18 AM,10/21/2013,5:33 AM,0:15
Physical Attack,10/19/2013,2:32 PM,10/19/2013,10:00 PM,7:28
Cyber Event with Potential to Cause Impact,10/16/2013,11:15 AM,10/16/2013,6:00 PM,6:45
Physical Attack,10/11/2013,2:30 PM,10/11/2013,6:30 PM,4:00
Physical Attack,10/6/2013,7:25 AM,10/6/2013,9:15 AM,1:50
Physcial Attack; Sabotage,9/29/2013,12:00 AM,9/29/2013,1:00 AM,1:00
Severe Weather - Thunderstorms,9/11/2013,4:00 PM,9/15/2013,4:00 PM,0:00
Electrical System Separation (Islanding); Severe Weather,8/29/2013,2:57 PM,8/29/2013,3:29 PM,0:32
Physcial Attack; Vandalism,8/29/2013,9:50 AM,8/29/2013,9:50 AM,0:00
Physcial Attack; Vandalism,8/28/2013,9:30 AM,8/28/2013,9:31 AM,0:01
Physcial Attack; Vandalism,8/26/2013,8:15 PM,8/26/2013,8:16 PM,0:01
Physcial Attack; Vandalism,8/23/2013,7:30 AM,8/23/2013,7:31 AM,0:01
Physcial Attack; Vandalism,8/22/2013,12:55 PM,8/22/2013,2:45 PM,1:50
Physcial Attack; Sabotage,8/22/2013,8:40 AM,8/22/2013,11:49 AM,3:09
Physcial Attack; Sabotage,8/21/2013,2:00 PM,8/21/2013,2:01 PM,0:01
Severe Weather - Thunderstorms,8/16/2013,4:58 PM,8/17/2013,11:58 PM,7:00
Suspicious Activity,8/12/2013,11:55 AM,8/12/2013,11:59 AM,0:04
Severe Weather - Thunderstorms,8/7/2013,12:15 AM,8/7/2013,9:27 PM,21:12
Fuel Supply Emergency (Natural Gas & Fuel Oil),8/7/2013,7:30 AM,8/7/2013,9:14 AM,1:44
Physcial Attack; Vandalism,8/6/2013,4:00 PM,8/6/2013,5:32 PM,1:32
Electrical System Separation (Islanding); Severe Weather,8/5/2013,6:35 PM,8/5/2013,6:45 PM,0:10
Physical Attack; Vandalism,8/4/2013,3:00 AM,8/4/2013,4:00 AM,1:00
Electrical System Separation (Islanding,8/1/2013,6:54 PM,8/1/2013,7:37 PM,0:43
Physical Attack; Copper Theft,8/1/2013,11:00 AM,8/1/2013,4:00 PM,5:00
Physical Attack; Vandalism,7/25/2013,1:10 PM,7/25/2013,1:15 PM,0:05
Physical Attack; Vandalism,7/22/2013,7:00 AM,7/22/2013,3:00 PM,8:00
Public Appeal - Heatwave,7/18/2013,11:30 AM,7/19/2013,5:30 PM,6:00
Physical Attack; Vandalism,7/18/2013,3:15 AM,7/18/2013,3:59 AM,0:44
Physical Attack; Vandalism,7/12/2013,10:00 AM,7/12/2013,10:01 AM,0:01
Severe Weather - Thunderstorms,7/10/2013,5:30 PM,7/11/2013,8:00 PM,2:30
Physical Attack; Copper Theft,7/10/2013,2:30 PM,7/10/2013,2:45 PM,0:15
Physical Attack; Vandalism,7/5/2013,12:05 AM,7/5/2013,1:51 AM,1:46
Voltage Reduction; Line and Generator Trip,7/3/2013,12:04 PM,7/3/2013,12:48 PM,0:44
Suspected Physical Attack,7/3/2013,9:34 AM,7/3/2013,10:52 AM,1:18
Load Shed 100+MW,7/2/2013,2:20 PM,7/5/2013,3:30 PM,1:10
Equipment Failure,6/28/2013,6:02 PM,6/28/2013,8:46 PM,2:44
Physical Attack; Vandalism,6/28/2013,5:14 PM,6/28/2013,5:15 PM,0:01
Physical Attack; Vandalism,6/28/2013,1:00 PM,6/28/2013,1:01 PM,0:01
Physical Attack; Vandalism,6/27/2013,1:10 AM,6/27/2013,2:45 AM,1:35
Physical Attack; Vandalism,6/22/2013,4:59 AM,6/22/2013,9:28 PM,16:29
Suspected Physical Attack,6/22/2013,4:12 PM,6/22/2013,5:45 PM,1:33
Physical Attack; Vandalism,6/21/2013,11:14 PM,6/21/2013,11:15 PM,0:01
Suspected Cyber Attack,6/21/2013,8:31 AM,10/30/2013,2:09 PM,5:38
Physical Attack; Vandalism & Sabotage,6/21/2013,7:40 AM,6/21/2013,12:14 PM,4:34
Severe Weather - Hailstorm,6/21/2013,3:00 AM,6/26/2013,12:00 PM,9:00
Electrical System Separation (Islanding),6/19/2013,7:57 PM,6/19/2013,8:09 PM,0:12
Electrical System Separation (Islanding),6/18/2013,3:51 PM,6/18/2013,4:23 PM,0:32
Load Shed of 100+ MW Under Emergency Operational Policy,6/17/2013,4:17 PM,6/17/2013,6:49 PM,2:32
Severe Weather - Thunderstorms,6/13/2013,8:47 PM,6/14/2013,10:47 PM,2:00
Severe Weather - Thunderstorms,6/13/2013,3:20 PM,6/14/2013,9:10 PM,5:50
Severe Weather - Thunderstorms,6/13/2013,5:45 PM,6/14/2013,6:30 PM,0:45
Severe Weather - Thunderstorms,6/13/2013,1:17 PM,6/14/2013,5:35 PM,4:18
Severe Weather - Thunderstorms,6/13/2013,4:08 PM,6/14/2013,5:16 PM,1:08
Loss of 300+ MW Load; Severe Weather - Thunderstorms,6/13/2013,3:30 PM,6/13/2013,4:00 PM,0:30
Electrical System Separation (Islanding),6/3/2013,12:50 PM,6/3/2013,1:36 PM,0:46
Severe Weather - Thunderstorms,5/31/2013,7:30 PM,6/1/2013,8:00 PM,0:30
Severe Weather - Lightning,5/31/2013,1:00 AM,5/31/2013,1:30 AM,0:30
Vandalism,5/30/2013,10:15 AM,5/30/2013,10:16 AM,0:01
Vandalism/Theft,5/29/2013,9:52 AM,5/29/2013,9:53 AM,0:01
Physical Attack,5/29/2013,12:00 AM,5/29/2013,12:02 AM,0:02
Vandalism/Theft,5/28/2013,1:00 PM,5/28/2013,6:00 PM,5:00
System Wide Voltage Reduction,5/22/2013,10:51 AM,5/22/2013,10:57 AM,0:06
Generator Trip; Load Shed 100+ MW,5/20/2013,5:22 PM,5/20/2013,9:09 PM,3:47
Severe Weather - Tornados,5/20/2013,3:00 PM,5/22/2013,5:00 PM,2:00
Vandalism,5/17/2013,8:35 AM,5/17/2013,8:36 AM,0:01
Vandalism,5/15/2013,2:11 PM,5/15/2013,2:12 PM,0:01
Vandalism/Theft,5/14/2013,12:01 AM,5/14/2013,1:59 PM,13:58
